gene,Ghana_SRR7641995,Ghana_SRR7641996,Guinea_SRR13532031,Guinea_SRR13532116,Nigeria_ERR10359917,Nigeria_ERR10359918
GENE,1,1,1,1,1,1
avrA,1,1,1,1,1,1
cdtB,1,1,1,1,1,1
csgA,1,1,1,1,1,1
csgB,1,1,1,1,1,1
csgC,1,1,1,1,1,1
csgD,1,1,1,1,1,1
csgE,1,1,1,1,1,1
csgF,1,1,1,1,1,1
csgG,1,1,1,1,1,1
entA,1,1,1,1,1,1
entB,1,1,1,1,1,1
faeC,1,1,1,1,1,1
faeD,1,1,1,1,1,1
faeE,1,1,1,1,1,1
fepC,1,1,1,1,1,1
fepG,1,1,1,1,1,1
fimC,1,1,1,1,1,1
fimD,1,1,1,1,1,1
fimF,1,1,1,1,1,1
fimH,1,1,1,1,1,1
fimI,1,1,1,1,1,1
gogB,1,1,1,1,1,1
grvA,1,1,1,1,1,1
invA,1,1,1,1,1,1
invB,1,1,1,1,1,1
invC,1,1,1,1,1,1
invE,1,1,1,1,1,1
invF,1,1,1,1,1,1
invG,1,1,1,1,1,1
invH,1,1,1,1,1,1
invI,1,1,1,1,1,1
invJ,1,1,1,1,1,1
lpfA,1,1,1,1,1,1
lpfB,1,1,1,1,1,1
lpfC,1,1,1,1,1,1
lpfD,1,1,1,1,1,1
lpfE,1,1,1,1,1,1
mgtB,1,1,1,1,1,1
mgtC,1,1,1,1,1,1
mig-14,1,1,1,1,1,1
misL,1,1,1,1,1,1
ompA,1,1,1,1,1,1
orgA,1,1,1,1,1,1
orgB,1,1,1,1,1,1
orgC,1,1,1,1,1,1
pefA,1,1,1,1,1,1
pefB,1,1,1,1,1,1
pefC,1,1,1,1,1,1
pefD,1,1,1,1,1,1
pipB,1,1,1,1,1,1
pipB2,1,1,1,1,1,1
prgH,1,1,1,1,1,1
prgI,1,1,1,1,1,1
prgJ,1,1,1,1,1,1
prgK,1,1,1,1,1,1
ratB,1,1,1,1,1,1
rck,1,1,1,1,1,1
shdA,1,1,1,1,1,1
sicA,1,1,1,1,1,1
sicP,1,1,1,1,1,1
sifA,1,1,1,1,1,1
sifB,1,1,1,1,1,1
sinH,1,1,1,1,1,1
sipA/sspA,1,1,1,1,1,1
sipB/sspB,1,1,1,1,1,1
sipC/sspC,1,1,1,1,1,1
sipD,1,1,1,1,1,1
slrP,1,1,1,1,1,1
sodCI,1,1,1,1,1,1
sopA,1,1,1,1,1,1
sopB/sigD,1,1,1,1,1,1
sopD,1,1,1,1,1,1
sopD2,1,1,1,1,1,1
sopE2,1,1,1,1,1,1
spaO,1,1,1,1,1,1
spaP,1,1,1,1,1,1
spaQ,1,1,1,1,1,1
spaR,1,1,1,1,1,1
spaS,1,1,1,1,1,1
spiC/ssaB,1,1,1,1,1,1
sptP,1,1,1,1,1,1
spvB,1,1,1,1,1,1
spvC,1,1,1,1,1,1
spvR,1,1,1,1,1,1
ssaC,1,1,1,1,1,1
ssaD,1,1,1,1,1,1
ssaE,1,1,1,1,1,1
ssaG,1,1,1,1,1,1
ssaH,1,1,1,1,1,1
ssaI,1,1,1,1,1,1
ssaJ,1,1,1,1,1,1
ssaK,1,1,1,1,1,1
ssaL,1,1,1,1,1,1
ssaM,1,1,1,1,1,1
ssaN,1,1,1,1,1,1
ssaO,1,1,1,1,1,1
ssaP,1,1,1,1,1,1
ssaQ,1,1,1,1,1,1
ssaR,1,1,1,1,1,1
ssaS,1,1,1,1,1,1
ssaT,1,1,1,1,1,1
ssaU,1,1,1,1,1,1
ssaV,1,1,1,1,1,1
sscA,1,1,1,1,1,1
sscB,1,1,1,1,1,1
sseA,1,1,1,1,1,1
sseB,1,1,1,1,1,1
sseC,1,1,1,1,1,1
sseD,1,1,1,1,1,1
sseE,1,1,1,1,1,1
sseF,1,1,1,1,1,1
sseG,1,1,1,1,1,1
sseI/srfH,1,1,1,1,1,1
sseJ,1,1,1,1,1,1
sseK1,1,1,1,1,1,1
sseK2,1,1,1,1,1,1
sseL,1,1,1,1,1,1
sspH1,1,1,1,1,1,1
sspH2,1,1,1,1,1,1
steA,1,1,1,1,1,1
steB,1,1,1,1,1,1
steC,1,1,1,1,1,1
